Topic_Name,Ratio_orgnization_users_Nametype,Ratio_of_tweets_containing_mention,Ratio_of_tweets_containing_URLs,Ratio_of_tweets_containing_hashtag,Ratio_of_tweet_containing_NSFW_content,Ratio_of_tweets_that_are_retweets,Ratio_of_tweets_have_multimedia,Ratio_of_tweets_from_credible_authors,Ratio_of_tweets_containing_question_marks,Ratio_of_tweets_with_positive_sentimnet,Ratio_of_tweets_with_negative_sentiment,Ratio_of_tweets_with_netural_sentiment,Ratio_of_tweets_containing_exclamation,Ratio_of_tweets_containing_happy_smileys,Ratio_of_tweets_having_specific_words_in_tweet,Ratio_of_tweets_from_authors_have_URL_in_their_home_page,Ratio_of_Authorsr_who_follwed_by__credibleuser,Ratio_of_authors_have_description,Average_tweet_length,Average_registration_age,Average_number_of_tweets_posted_Activity,Average_number_of_favorites,Average_Number_of_followers,Average_Number_of_following,Average_Time_span,Average_number_of_retweets,Average_listed_counts,Average_user_effect,Average_of_Reputaion,Topic_Detection
"خالد الفيصل يقيم مأدبة عشاء ترحيباً بنائب أمير مكة",0.078,0,0.102,0.94,0,0.919,0.081,0.015,0.009,0.312,0,0.688,0,0,0,0.114,0,1,223.306,2.898,32809.3,0,25872.9,881.964,2.898,98.465,35.033,5636.84,0.598,"Not Rumor"
"دخول شاحنات الموز اليمني المسموم",0,0,0.5,0.1,0,0.4,0,0,0,0.4,0.6,0,0,0,0.4,0,0,1,233.75,2.5,30483.4,0.8,2561.45,2250.85,2.5,3.3,4.95,1.986,0.473,Rumor
"رئيسة بلدية ذهبان",0,0,0.071,0.036,0,0.929,0,0,0,0.964,0,0.036,0,0,0,0.107,0,1,245.643,1.357,9929.57,2.607,11899.3,12886,1.357,30.857,7.357,0.903,0.465,Rumor
"رحلات جوية بين الهند واسرائيل عبر السعودية",0.5,0,1,1,0,0,0,0.5,0.5,1,0,0,0,0,0,0.5,0,1,233,3.5,56052,0.5,9391.5,924.5,3.5,0,41.5,7.16,0.57,Rumor
"رحلات مباشره الى موسكو",0.117,0.088,0.265,0.915,0.005,0.778,0.061,0.043,0.011,0.496,0.003,0.501,0,0,0.013,0.211,0.0015748,1,209.186,3.624,63140,0.672,76402.7,2304.62,3.624,72.483,98.951,27484.9,0.598,"Not Rumor"
"رسالة مبكية من أم لابنها الغريق في سيول البحر الميت",0.028,0,0.155,0.129,0.023,0.887,0.404,0.012,0.014,0,0.977,0.023,0,0,0,0.181,0,1,193.833,3.646,23863.5,0,49878.1,3730.73,3.646,240.094,56.601,1658.29,0.507,Rumor
"رياح سطحية مثيرة للغبار والأتربة على الرياض والدوادمي",0.02,0.008,0.086,0.922,0,0.877,0.033,0.012,0.045,0.074,0.824,0.102,0,0,0.012,0.053,0,0.992,236.533,3.004,28491.3,0.516,4909,961.074,3.004,138.107,16.828,97.834,0.482,"Not Rumor"
"زلزال بقوة 6.8 درجة يضرب منطقة الأمازون",0.5,0,1,0.8,0.1,0.4,0.6,0.3,0,0,0,1,0,0,0,0.5,0,1,120,5.6,79450.3,0,533667,731.6,5.6,1.6,470.2,57285.8,0.735,"Not Rumor"
"زلزال يضرب اندونيسيا",0.282,0,0.535,0.688,0.024,0.412,0.435,0.218,0.071,0.247,0.035,0.718,0,0,0.247,0.5,0,1,156.953,4.571,108558,0.029,179377,5128.37,4.571,2.176,289.859,36883.4,0.71,"Not Rumor"
"زورا كاروهيمبي ساحرة أنقذت العشرات من الإبادة الجماعية",0.079,0,0.794,0.016,0,0.556,0.27,0.032,0.016,0,0.016,0.984,0,0,0,0.27,0,1,153.27,4.127,76692.1,0,97948.1,1261.94,4.127,6.079,120.81,472.467,0.554,"Not Rumor"
"زيارة ولي العهد للصم والبكم",0,0.571,0.286,0.143,0,0.571,0.143,0,0.143,0.143,0.857,0,0,0,0,0.143,0,1,202.857,2.714,14255.7,2.857,20967.7,346,2.714,3.571,53.143,34.729,0.62,Rumor
"سعوديات يقتحمن بمهارة مهن اطفائيات الحرائق في ارامكو",0,1,1,1,0.062,0.938,0,0.062,1,0,0,1,0,0,0,0.312,0,1,186.562,5.125,24900.9,0,28113.9,1009.56,5.125,15.938,157.125,46.139,0.66,"Not Rumor"
"سفارة المملكة بالقاهرة تنفي مسؤوليتها عن رسالة تحذّر من عصابات تبتز السعوديات",0.083,0,0.133,0.67,0.016,0.879,0.041,0.025,0.01,0.511,0.371,0.117,0,0.003,0.022,0.159,0,1,237.806,3.933,75953.7,0.46,47700.8,2457.91,3.933,64.74,77.098,15663.6,0.625,"Not Rumor"
"سفارة المملكة في تنزانيا تشرع في إنهاء إجراءات نقل التوأم السيامي ",0.08,0,0.14,0.879,0.004,0.888,0.062,0.021,0.003,0.256,0,0.744,0,0.001,0,0.115,0,1,230.878,3.267,54254.1,0.577,55795.2,925.704,3.267,81.15,59.348,7660.16,0.473,"Not Rumor"
"سقوط مروحية إنقاذ في إمارة رأس الخيمة ومقتل طاقم الطائرة",0.161,0,0.39,0.721,0.022,0.681,0.139,0.068,0.09,0.176,0.108,0.715,0,0,0.3,0.319,0,1,216.495,4.319,76823.6,0.04,78169.7,5332.45,4.319,22.3,114.282,17172.5,0.656,"Not Rumor"
"سيدة تعرض زوجها للبيع على موقع «إيباي»",0.273,0,0.758,0.045,0.03,0.47,0.364,0.076,0.121,0.121,0.045,0.833,0.045,0,0.015,0.318,0,1,172.621,4.682,90550.4,0,144301,1808.92,4.682,4.061,198.333,20115,0.684,"Not Rumor"
"شاب سعودي ينقذ طفل من امام القطار في بلجيكا",0.008,0.033,0.114,0.553,0.024,0.789,0.268,0,0.041,0.943,0.041,0.016,0.008,0,0,0.073,0,1,205.041,2.366,18789.1,1.943,4635.43,1442.63,2.366,17.366,4.683,1831.28,0.492,Rumor
"شركة الإتصالات السعودية تقدم رصيد مجاني بمناسبة السنة الهجرية الجديدة",0,0.143,0.714,0,0,0.286,0,0,1,0.714,0,0.286,0,0,0,0.286,0,1,224.571,3.857,23873.4,0,3822.14,3134.14,3.857,0.571,3.857,1.823,0.55,Rumor
"شروط الزواج في نيبال",0,0,0.083,0.111,0.028,0.472,0.611,0,0.444,0.25,0,0.75,0.278,0,0,0.028,0,1,153.472,2.611,38204.2,0.528,5643.83,3824.81,2.611,3.028,10.361,7.731,0.498,Rumor
"صاروخ باليستي على خميس مشيط",0.021,0,0.033,0.951,0,0.948,0.008,0.008,0.416,0.464,0.056,0.48,0.002,0,0.629,0.07,0,1,233.755,1.755,25249.4,0.678,12565.7,2191.06,1.755,111.652,16.753,261.666,0.335,"Not Rumor"
"صرف راتب إضافي بمناسبة شهر رمضان",0.125,0,1,0,0,0.312,0.875,0,0,0,0,1,0,0,0,0.625,0,1,144.812,1.375,51893.1,0.562,14726.4,13339.8,1.375,0.938,10.375,0.973,0.469,Rumor
"صرف راتب شهري لربات البيوت",0,0,0.908,0.45,0,0.092,0,0,0.009,0.064,0.009,0.927,0,0,0,0.055,0,1,233.954,4.459,2983.92,0.312,596.055,688.587,4.459,1.789,0.881,11.592,0.504,Rumor
"صوت انفجار يهز جده",0.004,0.013,0.161,0.984,0.003,0.638,0.157,0.001,0.372,0.319,0.182,0.498,0.048,0,0.012,0.088,0,0.768,179.296,1.751,35791,0.037,11020.4,6914.18,1.751,30.894,48.081,37.05,0.465,Rumor
"صورة منفذ سلوى بين السعودية وقطر",0,0,0,0,0,0.8,0.8,0,0.2,0.2,0,0.8,0,0,0,0,0,0.2,140.2,1.2,8628.2,0,212.4,240,1.2,0,3,0.902,0.608,Rumor
"ضبط 392 ألف قطعة «مغشوشة» تحمل علامات مشهورة في مستودعين بالرياض",0.545,0,0.909,0.455,0,0.182,0.455,0,0,0.273,0.091,0.636,0,0,0,0.545,0,1,176,5.455,45567.5,0,32368.5,576.182,5.455,0.364,53.182,25307,0.846,"Not Rumor"
"طائرة اماراتية مرصعة بالالماس",0,0,0.6,0,0,0.2,0,0,0.2,0.2,0.6,0.2,0,0,0,0,0,1,227.6,0.6,10083.8,0,3506.4,650.2,0.6,0.2,4.4,2.058,0.412,Rumor
"طارق عثامنه يجري عملية لفتاة تعيش على الأندومي",0,0.013,0.325,0.05,0.05,0.662,0.013,0,0.412,0.25,0,0.75,0,0,0,0.075,0,1,235.075,4.062,22582.1,0,5921.29,4733.08,4.062,27.012,5.463,6.189,0.509,Rumor
"طفل يولد في الطائرة ويحصل على جنسية عدد من الدول التي مرت بها الطائرة",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,241,3,66684,0,13851,14859,3,19,23,0.93,0.48,Rumor
"عاصفة ثلجية تضرب الولايات المتحدة وتوقع سبعة قتلى",0.245,0,0.734,0.479,0.032,0.457,0.511,0.223,0,0.096,0.234,0.67,0,0,0.011,0.426,0,1,150.809,4.106,121906,0,294078,3375.36,4.106,3.66,388.723,17678.2,0.707,"Not Rumor"
"عقوبة عدم حمل الهوية الوطنية",0,0,0,0,0,0.5,1,0,0,1,0,0,0,0,0,0.5,0,1,130,4.5,6010.5,0,35843,35175,4.5,1,8.5,0.85,0.455,Rumor
"عملية فصل التوأم السيامي السعودي شموخ وشيخه",0.03,0.12,0.04,0.66,0,0.93,0.11,0.02,0.07,0.94,0,0.06,0,0,0,0.21,0,1,233.66,3.87,39342.3,0,11421.5,1703.8,3.87,47.54,12.79,1082.65,0.529,"Not Rumor"
"عودة الأجازة ليومي الخميس والجمعة",0.025,0.012,0.955,0.806,0.008,0.091,0,0,0.008,0.785,0.004,0.211,0.004,0,0.847,0.087,0,1,220.632,4.397,11070.7,0.182,3630.47,1176.37,4.397,0.88,3.393,23.185,0.579,Rumor
"غرامة عدم حمل الهوية الوطنية",0,0.143,0,0,0,0.643,0.786,0,0.643,1,0,0,0,0,0,0.214,0,1,137.714,3.929,43898.9,0.214,7478.5,6508.36,3.929,5.929,6.214,4.226,0.636,Rumor
"فتاة تقتحم مسرح عكاظ لتقبيل الفنان “ماجد المهندس” بالطائف",0.081,0,0.279,0.802,0.023,0.674,0.698,0.035,0.058,0.023,0.035,0.942,0.14,0,0.023,0.209,0,1,195.605,3.279,48711.2,13.791,29830.3,5784.08,3.279,37.756,25.884,4027.98,0.58,"Not Rumor"
"فورملا الدرعية",0.007,0.057,0.11,0.825,0.014,0.75,0.239,0.017,0.242,0.341,0.164,0.495,0.028,0,0,0.092,0,1,204.545,3.19,21438.6,0.004,19378.2,2122.35,3.19,326.284,29.473,1677.87,0.475,"Not Rumor"
"كلمة نادرة للملك فيصل بخط يده منذ اكثر من 50 عاما",0.161,0,1,0.661,0,0.768,0.714,0.036,0,1,0,0,0,0,0,0.161,0,1,163.589,3.464,53860.3,0,51390.9,607.696,3.464,24.304,114.536,9125.88,0.522,"Not Rumor"
"لا تستخدم اليد لإيقاف المصعد",0,0.062,0.034,0.241,0.014,0.807,0.807,0,0.434,0.014,0.986,0,0.103,0,0,0.103,0,1,196.152,2.703,23288.6,0.103,2615.97,2396.25,2.703,39.166,4.814,3.589,0.446,Rumor
"لاعبة الفنون القتالية المختلطة تغير ملامح وجه لص حاول سرقتها",0.308,0,1,0.077,0,0.692,0.769,0.077,0,0,0,1,0,0,0,0.462,0,1,166.538,4.077,49228.1,0,347692,569.077,4.077,7.615,269.462,29054.2,0.602,"Not Rumor"
"ماراثون الرياض الدولي",0.037,0.023,0.079,0.761,0.006,0.897,0.316,0.036,0.222,0.607,0.06,0.333,0.003,0,0.004,0.177,0.0003512,1,210.295,2.891,37436.4,0.928,33336.1,2942.34,2.891,1003.96,58.114,6560.85,0.49,"Not Rumor"
"ماكدونالدز يستخدم لحوم بشريه في وحباته",0.062,0,0.5,0.5,0,0.25,0.25,0.188,0.062,0,0.062,0.938,0.062,0,0.25,0.375,0,1,174.75,2.75,90159.8,1.062,112114,870.5,2.75,0.938,217.375,24954.4,0.629,Rumor
"مجلس الأمن يبحث الوضع في اليمن.. الأربعاء",0.296,0,0.815,0.444,0,0.407,0.722,0.111,0,0.019,0,0.981,0,0,0,0.463,0,1,132.222,3.167,104438,0,124292,1341.3,3.167,2.852,143.037,10643.1,0.76,"Not Rumor"
"محكمة مانهاتن تبرئ السعوديه",0.029,0,0.029,1,0,0.886,0,0,0,0.771,0,0.229,0,0,0,0.114,0,0.714,239.057,3,40682.3,0,11063,4177.54,3,0,20.314,9.166,0.537,"Not Rumor"
"مزارعو الورد الطائفي يقلمون أشجار الورد في الشفا والهدا",0.667,0,1,0,0,0.333,1,0.333,0,1,0,0,0,0,0,0.667,0,1,156,7,159196,0,364449,30,7,0.333,651.667,44803.5,0.977,"Not Rumor"
"مسابقة مكتبة جرير",0,0.069,0.759,0.138,0,0.207,0,0,0.966,1,0,0,0.034,0,0,0.069,0,1,226.897,3.621,27715.6,0.172,5258.79,4595.31,3.621,0.828,4.069,4.768,0.542,Rumor
"مشاجرة جماعية أمام قاعة أفراح بجدة",0.333,0.067,0.8,0.467,0,0.267,0.267,0,0,0.067,0.333,0.6,0.067,0,0,0.467,0,1,182.4,3.067,145351,0.267,22657.3,2232.73,3.067,0.933,26.667,7072.75,0.722,Rumor
"مطبعة لتزوير العملة السعودية",0.054,0,0.264,0.061,0.02,0.723,0.02,0.014,0.074,0.007,0,0.993,0.061,0,0,0.068,0,1,238,3.439,38957.1,0,13560.6,4898.16,3.439,31.865,31.345,2459.99,0.5,Rumor
"مقتل 3 أشخاص وإصابة 200 اثر اصطدام قطارين جنوب افريقيا",1,0,1,0,0,0.2,0.6,0,0,0,1,0,0,0,0,0.6,0,1,163.6,6,44429.4,0,6834.4,1008.8,6,0.2,14.8,543.2,0.78,"Not Rumor"
"مقتل 30 عاملاً بسبب انهيار أرضي في منجم للذهب في أفغانستان",0.291,0,0.215,0.506,0,0.468,0.481,0.266,0.089,0,1,0,0,0,0.418,0.468,0,1,170.101,3.861,128218,0,209475,777.278,3.861,2.418,334.949,15758.1,0.706,"Not Rumor"
"مقتل ضابط مفرقعات أثناء تفكيك قنبلة عند كنيسة بالقاهرة",0.2,0,0.4,1,0,0.4,0,0,0,0,1,0,0,0,0.8,0.2,0,1,219.4,3,15007.8,0,429.4,821.6,3,1.2,0.6,1.21,0.36,"Not Rumor"
"ملك البحرين يصل الرياض",0.103,0,0.437,0.852,0.034,0.875,0.739,0.046,0.218,0.015,0.002,0.983,0,0,0.237,0.172,0,1,148.425,3.609,80219.1,0,114976,3295.97,3.609,87.837,146.678,27263.6,0.619,"Not Rumor"
"منظر القطار في أول رحلة لقطار الحرمين",0.008,0.011,0.076,0.091,0.011,0.852,0.295,0,0.019,0.932,0.061,0.008,0.053,0,0,0.091,0,1,206.477,3.485,25609.9,0,2310.03,1729.06,3.485,54.591,5.008,3.598,0.439,Rumor
"منع استخدام العقاب في المدارس",0.083,0,0.417,0.417,0,0.583,0.167,0,0,0.083,0,0.917,0,0,0,0.25,0,1,211.75,2.75,148748,0.25,26347.7,5526.17,2.75,2.5,42,6217.21,0.672,Rumor
"منع الموسيقى في مطاعم الرياض",0.025,0.003,0.261,0.793,0.007,0.919,0.027,0.006,0.159,0.43,0.18,0.39,0.06,0.001,0.166,0.102,0,1,233.744,2.935,27389.1,0.835,17846.7,1869.34,2.935,228.83,23.724,3866.9,0.514,Rumor
"منفذ جسر الملك فهد يقترب من تخطي حاجز المليون مسافر",0.364,0,0.568,0.114,0.045,0.614,0.841,0.023,0,0,0,1,0,0,0,0.273,0,1,162.273,4.091,83622.3,0,130871,8602.79,4.091,6.045,132.841,12975.6,0.695,"Not Rumor"
"مواطن سعودي يبني بيته من حاوية بضائع",0.086,0,0.271,0.1,0.014,0.714,0.614,0.029,0.757,0.957,0.043,0,0,0,0,0.257,0,1,206.871,3.5,35761.7,2.886,26197.7,5945.3,3.5,43.229,31.686,1075.08,0.606,Rumor
"مواطن عثر على 15 مليون وسلمها للشرطة",0,0.333,0.667,0,0,0.333,0,0,0.333,0,0.667,0.333,0,0,0,0,0,1,225.667,4.333,163366,1.333,12051.3,6257.67,4.333,0.667,27,4.223,0.637,Rumor
"موت الأمير محمد بن سلمان",0.071,0.027,0.552,0.421,0,0.628,0.388,0,0.016,0.142,0.038,0.82,0.448,0,0.038,0.093,0,1,201.694,1.306,24727,1.426,1466.63,810.038,1.306,15.202,4.322,24.096,0.381,Rumor
"نائب أمير جازان يزور الطفل «جبران سحاري» المصاب إثر انفجار لغم منقول",0.6,0,0.4,0.7,0,0.4,0.4,0.1,0,0,0,1,0,0,0,0.4,0,1,210,5.6,228871,0,483897,585.2,5.6,1.3,406.4,39519.2,0.82,"Not Rumor"
"نافورة اليابان",0.008,0.014,0.03,0.515,0.03,0.792,0.86,0.003,0.214,0.27,0.205,0.525,0.041,0,0,0.088,0,1,140.275,3.069,32703.1,0.006,8599.87,4325.75,3.069,67.482,15.971,14.563,0.479,Rumor
"نساء مسلمات مبتهجات في معبد بوذا في الامارات",0,0,0.667,0.5,0,0.333,0,0,0.333,0.5,0,0.5,0.167,0,0,0.167,0,1,229.833,1.667,27484.8,0.333,665,1595.83,1.667,2,19.5,13.133,0.432,Rumor
"نقل مارادونا إلى المستشفى بسبب إصابته بنزيف داخلي في المعدة",0.408,0,0.429,0.531,0.02,0.327,0.571,0.163,0.02,0.102,0.163,0.735,0,0,0.061,0.49,0,1,175.449,3.857,81777.3,0,61434.7,1603.98,3.857,0.735,108.694,11155.4,0.677,"Not Rumor"
"هبوط طائرة على طريق مكه جده السريع",0,0,0.026,0.709,0.005,0.735,0.556,0,0.061,0.449,0.015,0.536,0,0,0,0.061,0,1,176.852,2.245,22926.9,0.801,6794.76,3647.14,2.245,37.102,8.5,2.501,0.458,Rumor
"هزة أرضية بقوة 4 درجات تضرب مصر",0.265,0,0.971,0.794,0.059,0.647,0.735,0.088,0,0.029,0,0.971,0,0,0,0.265,0,1,134.765,4.265,70255.3,0,196689,1775.15,4.265,7.235,233.059,28641,0.572,"Not Rumor"
"هزة أرضية تضرب شمال غرب المدينة المنورة",0,0.353,0.412,0.843,0,1,0,0,0.02,0.157,0.216,0.627,0.196,0,0.216,0.294,0,0.922,215.922,4.118,36287.2,0,8505.08,6994.63,4.118,0,37.078,9.253,0.617,"Not Rumor"
"هزة أرضية في المدينة المنورة",0,0.01,0.015,1,0,0.978,0.183,0,0.216,0.386,0.101,0.512,0.008,0,0,0.073,0,0.75,209.195,1.77,45365.1,0,13341,8563.63,1.77,0,32.822,63.87,0.481,Rumor
"وجود تنين في أبين",0,0,0.05,0.033,0.033,0.867,0.933,0,0.067,0.05,0.617,0.333,0.633,0,0,0.033,0,1,139.817,3.65,22805.5,1.433,5282.8,3082.82,3.65,39.017,7.083,2.207,0.432,Rumor
"وزاره التعليم تتجه الى الغاء الصف الخامس والسادس والثاني متوسط والثاني ثانوي ",0,0,0.019,0,0,0.962,0,0,0.981,0.019,0.981,0,0,0,0.981,0.019,0,1,243.151,1.283,5117.15,0,739.925,361.717,1.283,116.434,0.755,75.567,0.315,Rumor
"وزير التعليم يزور جناح الوزارة في الجنادرية",0.114,0,0.341,0.879,0,0.848,0.72,0.023,0,0,0,1,0,0,0,0.144,0,1,183.545,1.75,39003.7,0,47743.5,194.917,1.75,69.674,84.144,10307.9,0.694,"Not Rumor"
"وزير سوداني يتقدم لخطبة فتاة لبنانية",0.012,0,0.151,0.058,0.023,0.826,0.012,0,0.012,0.663,0.244,0.093,0.244,0,0,0.128,0,1,231.093,2.663,66760.4,0,13101.3,9007.3,2.663,40.465,29.465,3.756,0.593,Rumor
"وزير سوداني يخطب يتقدم لخطبة فتاة لبنانية",0,0,0.8,0.2,0,0.2,0,0,0,0.6,0.2,0.2,0.4,0,0,0.6,0,1,178.6,1.4,3722.6,0,72.4,210,1.4,8.4,0,0.464,0.278,Rumor
"وضع علم السعودية على المشروبات الكحولية",0,0,0.1,0.1,0,0.8,0.15,0,0.15,0,1,0,0,0,0,0.1,0,1,229.45,3.1,40235.2,0.05,1488.35,1062.6,3.1,38.4,2.8,2.533,0.488,Rumor
"وفاة  الامير مقرن بن عبدالعزيز",0,0.05,0.85,0,0,0,0.05,0,0,0,0,1,0.05,0,0.4,0.05,0,1,144.9,4.95,14625.2,0,3819.85,410.3,4.95,0,7.75,20.584,0.899,Rumor
"وفاة الأمير طلال بن عبدالعزيز",0.082,0.015,0.613,0.803,0.015,0.855,0.03,0.037,0,0.037,0,0.963,0,0,0.989,0.156,0,1,213.948,3.717,43798.6,0,69623.5,854.015,3.717,47.613,115.238,7188.73,0.451,"Not Rumor"
"وفاة الأمير عبدالعزيز بن بندر بن محمد بن عبدالعزيز",0.104,0,0.264,0.757,0.007,0.778,0.153,0.028,0.188,0.028,0,0.972,0,0,0.528,0.188,0,0.715,216.632,3,55735.3,0,22534.6,902.34,3,0,41.611,3238.43,0.602,"Not Rumor"
"وفاة الأمير نواف بن سعد",0.042,0.085,0.899,0.635,0,0.079,0,0,0.063,0.741,0.074,0.185,0.005,0,0.608,0.085,0,1,208.466,4.402,8065.4,0.148,2871.38,934.111,4.402,0.561,5.169,64.709,0.601,Rumor
"وفاة الامير خالد الفيصل",0.014,0.014,0.972,0.601,0,0.049,0,0.007,0,0.028,0.014,0.958,0,0,0.524,0.049,0,1,209.056,4.007,11917.2,0.105,3523.18,3235.67,4.007,0.182,5,43.315,0.56,Rumor
"وفاة الشيخ سلمان العوده",0,0,0.049,1,0,0.951,0.016,0,0,0.18,0.689,0.131,0,0,0,0.033,0,0.754,222,0.984,55475,0,14363.9,11551.2,0.984,0,168.311,5.191,0.479,Rumor
"وفاة العميد أحمد على عبدالله صالح",0.5,0,1,0,0,0,0,0,0,1,0,0,0.9,0,0.1,0.5,0,1,143.5,1.8,120874,0.3,8686.9,5422.2,1.8,0.2,15,158.847,0.899,Rumor
"وفاة الممثل ناصر القصبي",0.065,0,0.032,0.968,0,0.742,0.065,0,0.032,0.29,0,0.71,0.032,0,0.323,0.032,0,1,216.032,3.258,36534.3,1.097,3127.19,1239.26,3.258,11.806,8.226,5.874,0.401,Rumor
"وفاة حسني مبارك",0.019,0.003,0.048,0.606,0.013,0.673,0.598,0.003,0.252,0.129,0.083,0.788,0.016,0,0.265,0.118,0,1,153.064,3.126,38262.9,0.576,7743.24,3200.68,3.126,30.576,10.668,307.739,0.551,Rumor
"وفاة رجل إثر سقوطه من طائرة بعد إقلاعها",0.464,0,1,0.286,0,0.321,0.536,0.107,0,0,0,1,0,0,0,0.5,0,1,127.464,5.143,95099.3,0,213906,693.643,5.143,2.214,263.5,14792,0.729,"Not Rumor"
